Komoditas,tanggal,harga,sumber,is_outlier
Bawang Merah Ukuran Sedang,2022-01-03,30200.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-04,30150.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-05,30300.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-06,30300.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-07,30400.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-10,30650.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-11,30600.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-12,30550.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-13,30650.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-14,30750.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-17,30900.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-18,30950.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-19,30900.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-20,30950.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-21,31050.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-24,31050.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-25,30950.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-26,30900.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-27,30900.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-28,31000.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-01-31,31200.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-01,26000.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-02,31450.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-03,31650.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-04,31850.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-07,32700.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-08,33000.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-09,33400.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-10,34100.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-11,34300.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-14,35300.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-15,35750.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-16,35900.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-17,35900.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-18,36000.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-21,36350.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-22,36450.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-23,36550.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-24,36500.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-25,36600.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-02-28,36775.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-03-01,36950.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-03-02,37050.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-03-03,37175.0,PIHPS,False
Bawang Merah Ukuran Sedang,2022-03-04,37300.0,PIHPS,False
